"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"21:05:52.3704348","System","4","RegSetInfoKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:05:52.3704428","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters\e5b3b5ac-9725-4f78-963f-03dfb1d828c7","NAME NOT FOUND","Desired Access: All Access"
"21:05:52.3704554","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS",""
"21:05:52.3706545","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","Desired Access: All Access"
"21:05:52.3706679","System","4","RegQueryKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:05:52.3706756","System","4","RegSetInfoKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:05:52.3706838","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters\e5b3b5ac-9725-4f78-963f-03dfb1d828c7","NAME NOT FOUND","Desired Access: All Access"
"21:05:52.3706939","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS",""
"21:05:52.3708742","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","Desired Access: All Access"
"21:05:52.3708878","System","4","RegQueryKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"21:05:52.3708954","System","4","RegSetInfoKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"21:05:52.3709043","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters\e5b3b5ac-9725-4f78-963f-03dfb1d828c7","NAME NOT FOUND","Desired Access: All Access"
"21:05:52.3709141","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0110\2&daba3ff&0\Device Parameters","SUCCESS",""
"21:05:52.3973650","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0153\2&daba3ff&0","SUCCESS","Desired Access: Maximum Allowed, Granted Access: All Access"
"21:05:52.3973826","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0153\2&daba3ff&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.3974612","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\MSHW0153\2&daba3ff&0","SUCCESS",""
"21:05:52.4004140","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS","Desired Access: Read"
"21:05:52.4004301","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4004585","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4004676","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\DRTM0001\0","SUCCESS",""
"21:05:52.4579615","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.4579906","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4580368","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"21:05:52.4580537","System","4","RegCloseKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0200\4&34ff65f&0","SUCCESS",""
"21:05:52.4580827","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0","SUCCESS","Desired Access: Read"
"21:05:52.4581084","System","4","RegOpenKey","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0\Properties\{83da6326-97a6-4088-9453-a1923f573b29}\0013","NAME NOT FOUND","Desired Access: Query Value"
"21:05:52.4581510","System","4","RegQueryValue","HKLM\System\CurrentControlSet\Enum\ACPI\PNP0C04\4&34ff65f&0\ConfigFlags","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
